WILD DISCORD — BIOHACKER COMMUNITY WEEKLY PROGRAMMING,,,,,,,,
Week #,Day,Event Type,Title,Description,Who Leads,Time (UTC),Resources,Status
1,Mon,Weekly Challenge,7-Night Protocol Challenge: Night 1,Complete Night 1 of the circadian preparation protocol. Share your sleep timing plan and light exposure schedule.,Admin,09:00,Protocol PDF,Draft
1,Tue,Paper Discussion,Gamma Wave Activity in Lucid REM,Discussion of Voss et al. study on 40Hz gamma activation in prefrontal cortex during lucid dreaming. What does this mean for trainability?,Admin,18:00,Paper link,Draft
1,Wed,Member Spotlight,Welcome + Introductions,"First week: everyone introduces themselves, their optimization stack, and what brought them to WILD.",Community,All day,Intro template,Draft
1,Thu,Technique Deep-Dive,WBTB Timing Optimization,Finding your personal REM window. How to use sleep tracker data to identify optimal WBTB alarm timing.,Admin,18:00,Timing calculator,Draft
1,Fri,Data Review,Night 1-4 Tracking Share,Share your first tracking data. We analyze patterns collectively. What's your circadian consistency score?,Community,18:00,Tracking template,Draft
1,Sat,Live Q&A,Week 1 Voice Q&A Session,Live voice channel session answering all Week 1 questions. Troubleshooting circadian prep issues.,Admin,16:00,Voice channel,Draft
1,Sun,Pod Check-in,Accountability Pod Formation,Form groups of 5. Exchange daily check-in commitments. Your pod is your support system.,Community,All day,Pod signup form,Draft
2,Mon,Weekly Challenge,Hypnagogia Observation Challenge,"This week: observe hypnagogic imagery for 3 consecutive nights. Log what you see, hear, and feel.",Admin,09:00,Observation guide,Draft
2,Tue,Paper Discussion,Default Mode Network in Sleep,How the DMN operates during sleep transitions. Why hypnagogia produces creative insights.,Admin,18:00,Paper link,Draft
2,Wed,Member Spotlight,First Hypnagogia Reports,Members share their first conscious hypnagogic experiences. What patterns are emerging?,Community,All day,,Draft
2,Thu,Technique Deep-Dive,The Three Anchor Techniques,"Breath anchor, sensory anchor, visual anchor — which works best for analytical minds?",Admin,18:00,Technique guide,Draft
2,Fri,Data Review,Week 2 Tracking Analysis,Comparing Week 1 vs. Week 2 data. Are circadian adjustments improving REM windows?,Community,18:00,Tracking template,Draft
2,Sat,Workshop,Biofeedback: Reading Your Sleep Data,How to interpret Oura/Whoop/Apple Watch sleep stages for WILD optimization.,Admin,16:00,Sample data,Draft
2,Sun,Pod Check-in,Pod Progress Reports,Each pod shares aggregate data. Which pod has the highest hypnagogia detection rate?,Community,All day,,Draft
3,Mon,Weekly Challenge,Sleep Paralysis Preparation,"This week: if SP occurs, practice the stabilization protocol. Focus on physiological understanding.",Admin,09:00,SP guide,Draft
3,Tue,Paper Discussion,REM Atonia Mechanisms,The glycine/GABA pathway that creates sleep paralysis. Understanding the physiology eliminates fear.,Admin,18:00,Paper link,Draft
3,Wed,Member Spotlight,Breakthrough Stories,Members who achieved first moments of lucidity share their experience. What technique worked?,Community,All day,,Draft
3,Thu,Technique Deep-Dive,Sleep Paralysis as Gateway,"Reframing SP: the physiology, the experience, and the 30-90 second transition window.",Admin,18:00,SP protocol,Draft
3,Fri,Data Review,Week 3 Success Rates,Who reached hypnagogia? Who experienced SP? Who achieved lucidity? Building our dataset.,Community,18:00,,Draft
3,Sat,Live Q&A,SP Troubleshooting Session,"Voice channel: addressing fears, sharing experiences, building confidence around sleep paralysis.",Admin,16:00,Voice channel,Draft
3,Sun,Pod Check-in,Pod Data Comparison,Pods compare success rates. Identify what the highest-performing pods are doing differently.,Community,All day,,Draft
4,Mon,Weekly Challenge,First Full Lucid Dream Attempt,Night 5-6 territory. Full WILD attempt with all preparation steps.,Admin,09:00,Full protocol,Draft
4,Tue,Paper Discussion,Metacognition During REM Sleep,How prefrontal activation during lucid dreaming compares to waking metacognition.,Admin,18:00,Paper link,Draft
4,Wed,Member Spotlight,First Lucid Dream Reports,"Members share first full lucid experiences. Duration, clarity, what they did.",Community,All day,,Draft
4,Thu,Technique Deep-Dive,Lucidity Stabilization Techniques,"Sensory grounding, the spin technique, vocal declaration. Preventing premature wake-up.",Admin,18:00,Stabilization guide,Draft
4,Fri,Data Review,Month 1 Complete Data,"Full month of tracking. Success rates, patterns, correlations. Building the community dataset.",Community,18:00,,Draft
4,Sat,Workshop,Month 1 Retrospective + Month 2 Preview,"What worked, what didn't. Advanced techniques preview for Month 2.",Admin,16:00,Retrospective template,Draft
4,Sun,Pod Check-in,Pod Month 1 Reviews,Pods review collective progress. Set Month 2 goals.,Community,All day,,Draft
5,Mon,Weekly Challenge,Supplement Experimentation Week,Optional: galantamine micro-dosing protocol for enhanced REM. Safety-first approach.,Admin,09:00,Supplement guide,Draft
5,Tue,Paper Discussion,Cholinergic System and Lucid Dreaming,How acetylcholine modulators affect REM quality and lucidity induction.,Admin,18:00,Paper link,Draft
5,Wed,Member Spotlight,30-Day Streak Members,Celebrating members who completed 30 consecutive nights of practice.,Community,All day,,Draft
5,Thu,Technique Deep-Dive,WILD Chaining: Multiple Lucid Dreams Per Night,Advanced technique for re-entering lucidity after brief waking within the same night.,Admin,18:00,Chaining guide,Draft
5,Fri,Data Review,Supplement vs. No-Supplement Comparison,Community data: does supplementation actually improve success rates?,Community,18:00,,Draft
5,Sat,Live Q&A,Advanced Techniques Q&A,"Voice session on advanced methods, troubleshooting, and optimization.",Admin,16:00,Voice channel,Draft
5,Sun,Pod Check-in,Pod Advanced Practice Reports,Pods testing different advanced techniques — comparing results.,Community,All day,,Draft
6,Mon,Weekly Challenge,Mental Rehearsal in Lucid Dreams,This week's task: use a lucid dream to rehearse a specific real-world skill or scenario.,Admin,09:00,Rehearsal protocol,Draft
6,Tue,Paper Discussion,Motor Learning During Sleep,Evidence for skill consolidation and mental practice during REM sleep.,Admin,18:00,Paper link,Draft
6,Wed,Member Spotlight,Practical Application Stories,Members share how they used lucid dreams for real-world problem solving.,Community,All day,,Draft
6,Thu,Technique Deep-Dive,Dream Environment Control,Directing the dream space: building specific environments for task rehearsal.,Admin,18:00,Control guide,Draft
6,Fri,Data Review,Performance Tracking: Dream vs. Waking Skills,Did rehearsal in dreams translate to waking performance? Collecting data.,Community,18:00,,Draft
6,Sat,Workshop,Building Your Personal WILD Protocol,Each member customizes the base protocol based on 6 weeks of personal data.,Admin,16:00,Custom template,Draft
6,Sun,Pod Check-in,Mid-Month 2 Check-in,Pods assess progress toward Month 2 goals.,Community,All day,,Draft
7,Mon,Weekly Challenge,Creative Problem-Solving Dreams,Set a specific problem before sleep. Attempt to work on it during lucidity.,Admin,09:00,Problem-setting template,Draft
7,Tue,Paper Discussion,Creativity and the Default Mode Network,How unconstrained associative thinking in REM produces novel solutions.,Admin,18:00,Paper link,Draft
7,Wed,Member Spotlight,Creative Breakthroughs,Members share creative insights that emerged from lucid dream sessions.,Community,All day,,Draft
7,Thu,Technique Deep-Dive,EEG Headband Integration,Using consumer EEG devices to trigger lucidity cues during detected REM.,Admin,18:00,Hardware guide,Draft
7,Fri,Data Review,Month 2 Final Tracking,Complete Month 2 dataset. Trend analysis. Success rate trajectories.,Community,18:00,,Draft
7,Sat,Live Q&A,Month 2 Retrospective,Voice session reviewing Month 2. What techniques produced the best results?,Admin,16:00,Voice channel,Draft
7,Sun,Pod Check-in,Pod Month 2 Reviews,Pods share aggregate data. Which pods improved most?,Community,All day,,Draft
8,Mon,Weekly Challenge,Teaching Challenge: Explain WILD to Someone New,Articulate the practice to a non-practitioner. Teaching deepens understanding.,Admin,09:00,,Draft
8,Tue,Paper Discussion,Consciousness and Sleep: Philosophical Implications,The hard problem of consciousness through the lens of lucid dreaming research.,Admin,18:00,Paper link,Draft
8,Wed,Member Spotlight,60-Day Practitioners,Members at 60+ consecutive days of practice. What has changed?,Community,All day,,Draft
8,Thu,Technique Deep-Dive,Advanced: Lucid Dream Inception — Nested Dreams,The rare phenomenon of dreams within dreams and maintaining awareness through layers.,Admin,18:00,Advanced guide,Draft
8,Fri,Data Review,Long-Term Tracking Patterns,What do 60+ day datasets show? Plateau effects? Continued improvement?,Community,18:00,,Draft
8,Sat,Workshop,Building a Personal Sleep Lab,"DIY sleep lab setup: cameras, EEG, environmental sensors under $500.",Admin,16:00,Equipment list,Draft
8,Sun,Pod Check-in,Month 3 Goal Setting,Pods set Month 3 mastery goals.,Community,All day,,Draft
9,Mon,Weekly Challenge,Emotional Processing Dreams,Use a lucid dream to consciously process a challenging emotion or memory.,Admin,09:00,Emotional protocol,Draft
9,Tue,Paper Discussion,REM Sleep and Emotional Regulation,How REM processes emotional content and the implications for mental health.,Admin,18:00,Paper link,Draft
9,Wed,Member Spotlight,Transformation Stories,Members share how consistent practice has changed their relationship with sleep.,Community,All day,,Draft
9,Thu,Technique Deep-Dive,Polyphasic Sleep Integration,How polyphasic schedules can increase WILD attempt windows.,Admin,18:00,Polyphasic guide,Draft
9,Fri,Data Review,Emotional Processing Success Data,Did the emotional processing challenge produce subjective improvement?,Community,18:00,,Draft
9,Sat,Live Q&A,Community AMA with Guest Researcher,Invite a sleep researcher or experienced practitioner for live Q&A.,Guest,16:00,Voice channel,Draft
9,Sun,Pod Check-in,Pod Progress Reports,Mid-month check-in on Month 3 mastery goals.,Community,All day,,Draft
10,Mon,Weekly Challenge,Community Data Project,Contribute your full dataset to the community research project. Anonymized aggregate analysis.,Admin,09:00,Data submission form,Draft
10,Tue,Paper Discussion,AI and Dream Analysis,How machine learning is being applied to dream report analysis and pattern detection.,Admin,18:00,Paper link,Draft
10,Wed,Member Spotlight,90-Day Masters,Members at 90+ days. The community's most experienced practitioners share insights.,Community,All day,,Draft
10,Thu,Technique Deep-Dive,Dream Journaling Analytics,Using data analysis on dream journals to identify personal lucidity triggers.,Admin,18:00,Analytics guide,Draft
10,Fri,Data Review,Community Aggregate Data Report,"Full community dataset analysis. Trends, insights, actionable findings.",Admin,18:00,Data report,Draft
10,Sat,Workshop,Quarter 1 Retrospective + Quarter 2 Preview,Community-wide retrospective. Celebrate wins. Plan the next 3 months.,Admin,16:00,Retro template,Draft
10,Sun,Pod Check-in,Final Pod Reports + Reorganization,Pods share final reports. Option to reshuffle for Quarter 2.,Community,All day,,Draft
11,Mon,Weekly Challenge,First Full Lucid Dream Attempt,Night 5-6 territory. Full WILD attempt with all preparation steps.,Admin,09:00,Full protocol,Draft
11,Tue,Paper Discussion,Metacognition During REM Sleep,How prefrontal activation during lucid dreaming compares to waking metacognition.,Admin,18:00,Paper link,Draft
11,Wed,Member Spotlight,First Lucid Dream Reports,"Members share first full lucid experiences. Duration, clarity, what they did.",Community,All day,,Draft
11,Thu,Technique Deep-Dive,Lucidity Stabilization Techniques,"Sensory grounding, the spin technique, vocal declaration. Preventing premature wake-up.",Admin,18:00,Stabilization guide,Draft
11,Fri,Data Review,Month 1 Complete Data,"Full month of tracking. Success rates, patterns, correlations. Building the community dataset.",Community,18:00,,Draft
11,Sat,Workshop,Month 1 Retrospective + Month 2 Preview,"What worked, what didn't. Advanced techniques preview for Month 2.",Admin,16:00,Retrospective template,Draft
11,Sun,Pod Check-in,Pod Month 1 Reviews,Pods review collective progress. Set Month 2 goals.,Community,All day,,Draft
12,Mon,Weekly Challenge,Supplement Experimentation Week,Optional: galantamine micro-dosing protocol for enhanced REM. Safety-first approach.,Admin,09:00,Supplement guide,Draft
12,Tue,Paper Discussion,Cholinergic System and Lucid Dreaming,How acetylcholine modulators affect REM quality and lucidity induction.,Admin,18:00,Paper link,Draft
12,Wed,Member Spotlight,30-Day Streak Members,Celebrating members who completed 30 consecutive nights of practice.,Community,All day,,Draft
12,Thu,Technique Deep-Dive,WILD Chaining: Multiple Lucid Dreams Per Night,Advanced technique for re-entering lucidity after brief waking within the same night.,Admin,18:00,Chaining guide,Draft
12,Fri,Data Review,Supplement vs. No-Supplement Comparison,Community data: does supplementation actually improve success rates?,Community,18:00,,Draft
12,Sat,Live Q&A,Advanced Techniques Q&A,"Voice session on advanced methods, troubleshooting, and optimization.",Admin,16:00,Voice channel,Draft
12,Sun,Pod Check-in,Pod Advanced Practice Reports,Pods testing different advanced techniques — comparing results.,Community,All day,,Draft
13,Mon,Weekly Challenge,Mental Rehearsal in Lucid Dreams,This week's task: use a lucid dream to rehearse a specific real-world skill or scenario.,Admin,09:00,Rehearsal protocol,Draft
13,Tue,Paper Discussion,Motor Learning During Sleep,Evidence for skill consolidation and mental practice during REM sleep.,Admin,18:00,Paper link,Draft
13,Wed,Member Spotlight,Practical Application Stories,Members share how they used lucid dreams for real-world problem solving.,Community,All day,,Draft
13,Thu,Technique Deep-Dive,Dream Environment Control,Directing the dream space: building specific environments for task rehearsal.,Admin,18:00,Control guide,Draft
13,Fri,Data Review,Performance Tracking: Dream vs. Waking Skills,Did rehearsal in dreams translate to waking performance? Collecting data.,Community,18:00,,Draft
13,Sat,Workshop,Building Your Personal WILD Protocol,Each member customizes the base protocol based on 6 weeks of personal data.,Admin,16:00,Custom template,Draft
13,Sun,Pod Check-in,Mid-Month 2 Check-in,Pods assess progress toward Month 2 goals.,Community,All day,,Draft
